t	Ax	Ay	Az	wx	wy	wz	ax	ay	az	R11	R12	R13	R21	R22	R23	R31	R32	R33
0.0000	-4.478	-6.935	5.672	0.0307	0.7855	0.0563	0.0000	0.0000	0.0000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
0.0001	-4.784	-7.107	0.904	0.0292	0.7562	0.0669	-0.0156	-0.2936	0.1063	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
0.0002	-3.494	-5.802	-4.093	0.0244	0.7424	0.0597	-0.0481	-0.1374	-0.0726	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
0.0003	-2.259	-2.949	-7.271	0.0610	0.7720	0.0146	0.3658	0.2958	-0.4508	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
0.0004	-2.684	0.420	-11.451	0.1431	0.8430	-0.0800	0.8212	0.7095	-0.9454	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
0.0005	-1.657	2.491	-13.734	0.2066	0.9033	-0.1622	0.6355	0.6033	-0.8226	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
0.0006	2.899	2.552	-10.847	0.2034	0.9044	-0.1467	-0.0323	0.0111	0.1555	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
0.0007	7.203	1.013	-4.723	0.1591	0.8671	-0.0622	-0.4432	-0.3732	0.8449	1.000	0.000	0.001	0.000	1.000	0.000	-0.001	0.000	1.000
0.0008	7.692	-1.447	4.737	0.1179	0.8522	-0.0150	-0.4118	-0.1490	0.4716	1.000	0.000	0.001	0.000	1.000	0.000	-0.001	0.000	1.000
0.0009	5.837	-3.153	17.489	0.0918	0.8693	-0.0248	-0.2608	0.1710	-0.0975	1.000	0.000	0.001	0.000	1.000	0.000	-0.001	0.000	1.000
0.0010	5.180	-1.854	25.613	0.0648	0.8669	-0.0134	-0.2704	-0.0240	0.1140	1.000	0.000	0.001	0.000	1.000	0.000	-0.001	0.000	1.000
0.0011	6.714	1.560	22.985	0.0235	0.8147	0.0504	-0.4131	-0.5220	0.6379	1.000	0.000	0.001	0.000	1.000	0.000	-0.001	0.000	1.000
0.0012	8.653	3.692	14.896	-0.0186	0.7393	0.1075	-0.4208	-0.7543	0.5708	1.000	0.000	0.001	0.000	1.000	0.000	-0.001	0.000	1.000
0.0013	9.268	2.639	11.209	-0.0363	0.6870	0.0987	-0.1768	-0.5225	-0.0876	1.000	0.000	0.001	0.000	1.000	0.000	-0.001	0.000	1.000
0.0014	8.171	-1.326	15.441	-0.0305	0.6826	0.0318	0.0582	-0.0439	-0.6689	1.000	0.000	0.001	0.000	1.000	0.000	-0.001	0.000	1.000
0.0015	6.551	-4.449	19.746	-0.0420	0.6993	-0.0151	-0.1151	0.1666	-0.4694	1.000	0.000	0.001	0.000	1.000	0.000	-0.001	0.000	1.000
0.0016	5.842	-2.426	15.903	-0.0883	0.6863	0.0169	-0.4634	-0.1304	0.3199	1.000	0.000	0.001	0.000	1.000	0.000	-0.001	0.000	1.000
0.0017	5.128	2.190	7.893	-0.1190	0.6371	0.0830	-0.3070	-0.4914	0.6613	1.000	0.000	0.001	0.000	1.000	0.000	-0.001	0.000	1.000
0.0018	2.359	3.549	2.413	-0.0952	0.5991	0.1151	0.2388	-0.3806	0.3213	1.000	0.000	0.001	0.000	1.000	0.000	-0.001	0.000	1.000
0.0019	-1.783	1.634	-0.355	-0.0439	0.6163	0.1179	0.5122	0.1724	0.0273	1.000	0.000	0.001	0.000	1.000	0.000	-0.001	0.000	1.000
0.0020	-4.252	0.313	-0.690	-0.0068	0.6689	0.1267	0.3718	0.5264	0.0881	1.000	0.000	0.002	0.000	1.000	0.000	-0.002	0.000	1.000
0.0021	-3.707	0.623	1.188	0.0002	0.6898	0.1403	0.0693	0.2081	0.1362	1.000	0.000	0.002	0.000	1.000	0.000	-0.002	0.000	1.000
0.0022	-1.529	1.377	1.709	-0.0100	0.6604	0.1252	-0.1013	-0.2934	-0.1513	1.000	0.000	0.002	0.000	1.000	0.000	-0.002	0.000	1.000
0.0023	0.538	1.967	0.500	0.0087	0.6429	0.0539	0.1865	-0.1755	-0.7133	1.000	0.000	0.002	0.000	1.000	0.000	-0.002	0.000	1.000
0.0024	2.186	2.432	1.278	0.0870	0.6872	-0.0581	0.7833	0.4431	-1.1200	1.000	0.000	0.002	0.000	1.000	0.000	-0.002	0.000	1.000
0.0025	4.243	4.003	1.468	0.1796	0.7584	-0.1402	0.9255	0.7127	-0.8202	1.000	0.000	0.002	0.000	1.000	0.000	-0.002	0.000	1.000
0.0026	6.602	6.995	-2.216	0.2138	0.7899	-0.1387	0.3425	0.3142	0.0150	1.000	0.000	0.002	0.000	1.000	0.000	-0.002	0.000	1.000
0.0027	8.165	8.738	-1.160	0.1854	0.7632	-0.0918	-0.2843	-0.2663	0.4684	1.000	0.000	0.002	0.000	1.000	0.000	-0.002	0.000	1.000
0.0028	8.937	8.087	9.479	0.1416	0.7063	-0.0611	-0.4383	-0.5694	0.3068	1.000	0.000	0.002	0.000	1.000	0.000	-0.002	0.000	1.000
0.0029	9.403	7.432	16.150	0.1079	0.6532	-0.0403	-0.3370	-0.5306	0.2086	1.000	0.000	0.002	0.000	1.000	0.000	-0.002	0.000	1.000
0.0030	9.683	7.791	10.831	0.0822	0.6250	0.0014	-0.2567	-0.2821	0.4170	1.000	0.000	0.002	0.000	1.000	0.000	-0.002	0.000	1.000
0.0031	10.018	7.304	4.338	0.0673	0.6175	0.0574	-0.1490	-0.0751	0.5597	1.000	0.000	0.002	0.000	1.000	0.000	-0.002	0.000	1.000
0.0032	9.131	4.773	1.715	0.0693	0.6115	0.0974	0.0205	-0.0596	0.4000	1.000	0.000	0.002	0.000	1.000	0.000	-0.002	0.000	1.000
0.0033	5.318	1.418	-3.181	0.0751	0.5968	0.0978	0.0580	-0.1473	0.0040	1.000	0.000	0.002	0.000	1.000	0.000	-0.002	0.000	1.000
0.0034	1.139	0.097	-9.304	0.0615	0.5715	0.0771	-0.1364	-0.2529	-0.2074	1.000	0.000	0.002	0.000	1.000	0.000	-0.002	0.000	1.000
0.0035	0.938	2.800	-11.340	0.0339	0.5478	0.0798	-0.2764	-0.2370	0.0279	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0036	3.859	7.031	-9.528	0.0252	0.5521	0.1027	-0.0865	0.0430	0.2283	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0037	5.777	7.324	-4.881	0.0442	0.5866	0.1098	0.1901	0.3446	0.0717	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0038	6.077	2.524	1.285	0.0561	0.6161	0.1063	0.1186	0.2949	-0.0353	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0039	6.758	-2.495	3.608	0.0325	0.6098	0.1162	-0.2358	-0.0632	0.0993	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0040	7.529	-3.892	0.155	-0.0006	0.5759	0.1247	-0.3311	-0.3382	0.0843	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0041	6.980	-2.886	-3.047	0.0038	0.5439	0.1050	0.0440	-0.3207	-0.1967	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0042	6.356	-1.844	-0.650	0.0506	0.5360	0.0637	0.4683	-0.0789	-0.4128	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0043	8.275	-0.072	4.762	0.1102	0.5698	0.0115	0.5960	0.3387	-0.5222	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0044	13.187	4.290	5.207	0.1591	0.6386	-0.0483	0.4884	0.6881	-0.5975	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0045	18.395	8.944	-1.223	0.1931	0.6970	-0.0922	0.3404	0.5839	-0.4398	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0046	20.416	9.363	-6.762	0.2174	0.7103	-0.0986	0.2434	0.1326	-0.0637	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0047	18.280	5.950	-7.329	0.2235	0.6910	-0.0824	0.0606	-0.1926	0.1622	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0048	13.792	2.704	-5.772	0.1995	0.6643	-0.0739	-0.2403	-0.2672	0.0846	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0049	9.539	1.572	-2.750	0.1560	0.6285	-0.0694	-0.4344	-0.3578	0.0454	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0050	7.257	2.228	0.406	0.1106	0.5796	-0.0364	-0.4541	-0.4892	0.3296	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0051	6.892	3.047	-0.862	0.0695	0.5400	0.0282	-0.4108	-0.3958	0.6466	1.000	0.000	0.004	0.000	1.000	0.000	-0.004	0.000	1.000
0.0052	7.036	1.299	-4.205	0.0421	0.5312	0.0847	-0.2746	-0.0881	0.5645	1.000	0.000	0.004	0.000	1.000	0.000	-0.004	0.000	1.000
0.0053	6.734	-3.309	-2.718	0.0369	0.5436	0.1053	-0.0522	0.1242	0.2065	1.000	0.000	0.004	0.000	1.000	0.000	-0.004	0.000	1.000
0.0054	6.217	-6.444	0.114	0.0360	0.5483	0.1100	-0.0082	0.0469	0.0467	1.000	0.000	0.004	0.000	1.000	0.000	-0.004	0.000	1.000
0.0055	5.881	-5.368	-2.538	0.0176	0.5295	0.1249	-0.1843	-0.1883	0.1491	1.000	0.000	0.004	0.000	1.000	0.000	-0.004	0.000	1.000
0.0056	6.290	-3.292	-5.659	-0.0102	0.4985	0.1476	-0.2783	-0.3099	0.2273	1.000	0.000	0.004	0.000	1.000	0.000	-0.004	0.000	1.000
0.0057	7.395	-3.266	-4.551	-0.0287	0.4788	0.1627	-0.1844	-0.1973	0.1503	1.000	0.000	0.004	0.000	1.000	0.000	-0.004	0.000	1.000
0.0058	6.631	-4.244	-5.653	-0.0270	0.4860	0.1508	0.0162	0.0720	-0.1185	1.000	0.000	0.004	0.000	1.000	0.000	-0.004	0.000	1.000
0.0059	2.548	-5.133	-10.868	0.0017	0.5111	0.1055	0.2873	0.2506	-0.4528	1.000	0.000	0.004	0.000	1.000	0.000	-0.004	0.000	1.000
0.0060	-1.412	-6.502	-13.588	0.0506	0.5229	0.0615	0.4888	0.1185	-0.4399	1.000	0.000	0.004	0.000	1.000	0.000	-0.004	0.000	1.000
0.0061	-2.489	-8.103	-14.621	0.0981	0.5068	0.0508	0.4752	-0.1611	-0.1070	1.000	0.000	0.004	0.000	1.000	0.000	-0.004	0.000	1.000
0.0062	-2.229	-8.746	-19.168	0.1360	0.4922	0.0448	0.3793	-0.1463	-0.0601	1.000	0.000	0.004	0.000	1.000	0.000	-0.004	0.000	1.000
0.0063	-0.933	-7.814	-23.849	0.1757	0.5225	0.0036	0.3966	0.3038	-0.4124	1.000	0.000	0.004	0.000	1.000	0.000	-0.004	0.000	1.000
0.0064	1.309	-5.126	-23.796	0.2273	0.5974	-0.0666	0.5164	0.7491	-0.7021	1.000	0.000	0.004	0.000	1.000	0.000	-0.004	0.000	1.000
0.0065	-0.210	-1.786	-20.392	0.2827	0.6628	-0.1338	0.5541	0.6538	-0.6715	1.000	0.000	0.004	0.000	1.000	0.000	-0.004	0.000	1.000
0.0066	-6.291	-1.133	-14.625	0.3116	0.6744	-0.1713	0.2885	0.1154	-0.3755	1.000	0.000	0.004	0.000	1.000	0.000	-0.004	0.000	1.000
0.0067	-9.191	-4.111	-7.020	0.2933	0.6392	-0.1692	-0.1825	-0.3521	0.0215	1.000	0.000	0.004	0.000	1.000	0.000	-0.004	0.000	1.000
0.0068	-5.713	-6.067	-1.819	0.2447	0.5869	-0.1340	-0.4863	-0.5225	0.3521	1.000	0.000	0.004	0.000	1.000	-0.001	-0.004	0.001	1.000
0.0069	-1.639	-4.200	0.584	0.1958	0.5505	-0.0896	-0.4891	-0.3643	0.4437	1.000	0.000	0.004	0.000	1.000	-0.001	-0.004	0.001	1.000
0.0070	0.066	-2.513	5.568	0.1610	0.5460	-0.0605	-0.3478	-0.0451	0.2911	1.000	0.000	0.005	0.000	1.000	-0.001	-0.005	0.001	1.000
0.0071	0.818	-3.923	13.265	0.1437	0.5478	-0.0527	-0.1731	0.0184	0.0776	1.000	0.000	0.005	0.000	1.000	-0.001	-0.005	0.001	1.000
0.0072	-0.236	-5.350	17.361	0.1419	0.5347	-0.0655	-0.0181	-0.1311	-0.1281	1.000	0.000	0.005	0.000	1.000	-0.001	-0.005	0.001	1.000
0.0073	-1.569	-4.184	14.848	0.1359	0.5245	-0.0826	-0.0593	-0.1023	-0.1710	1.000	0.000	0.005	0.000	1.000	-0.001	-0.005	0.001	1.000
0.0074	1.377	-2.262	9.462	0.1109	0.5256	-0.0757	-0.2508	0.0111	0.0696	1.000	0.000	0.005	0.000	1.000	-0.001	-0.005	0.001	1.000
0.0075	5.463	-0.802	5.064	0.0871	0.5142	-0.0477	-0.2375	-0.1140	0.2800	1.000	0.000	0.005	0.000	1.000	-0.001	-0.005	0.001	1.000
0.0076	3.521	1.491	2.185	0.0866	0.4818	-0.0269	-0.0048	-0.3239	0.2076	1.000	0.000	0.005	0.000	1.000	-0.001	-0.005	0.001	1.000
0.0077	-1.399	3.275	2.712	0.0981	0.4479	-0.0226	0.1145	-0.3388	0.0428	1.000	0.000	0.005	0.000	1.000	-0.001	-0.005	0.001	1.000
0.0078	-2.458	1.695	7.887	0.0984	0.4202	-0.0163	0.0034	-0.2775	0.0637	1.000	0.000	0.005	0.000	1.000	-0.001	-0.005	0.001	1.000
0.0079	-3.918	-1.422	13.891	0.0849	0.4022	0.0036	-0.1353	-0.1796	0.1983	1.000	0.000	0.005	0.000	1.000	-0.001	-0.005	0.001	1.000
0.0080	-8.858	-2.186	16.585	0.0779	0.4009	0.0215	-0.0703	-0.0125	0.1788	1.000	0.000	0.005	0.000	1.000	-0.001	-0.005	0.001	1.000
0.0081	-6.561	-1.334	15.423	0.0972	0.3960	0.0212	0.1935	-0.0495	-0.0021	1.000	0.000	0.005	0.000	1.000	-0.001	-0.005	0.001	1.000
0.0082	5.182	-0.629	11.668	0.1355	0.3795	-0.0038	0.3835	-0.1654	-0.2506	1.000	0.000	0.005	0.000	1.000	-0.001	-0.005	0.001	1.000
0.0083	11.346	2.318	5.694	0.1647	0.3876	-0.0567	0.2914	0.0819	-0.5283	1.000	0.000	0.005	0.000	1.000	-0.001	-0.005	0.001	1.000
0.0084	8.386	6.999	-1.070	0.1818	0.4351	-0.1230	0.1712	0.4747	-0.6632	1.000	0.000	0.005	0.000	1.000	-0.001	-0.005	0.001	1.000
0.0085	6.875	8.423	-2.544	0.2121	0.4867	-0.1729	0.3034	0.5157	-0.4996	1.000	0.000	0.005	0.000	1.000	-0.001	-0.005	0.001	1.000
0.0086	5.859	7.744	3.396	0.2520	0.4988	-0.1881	0.3989	0.1212	-0.1518	1.000	0.000	0.005	0.000	1.000	-0.001	-0.005	0.001	1.000
0.0087	0.811	9.403	7.053	0.2677	0.4555	-0.1741	0.1565	-0.4332	0.1400	1.000	0.000	0.005	0.000	1.000	-0.001	-0.005	0.001	1.000
0.0088	0.018	10.565	2.599	0.2473	0.3877	-0.1414	-0.2041	-0.6779	0.3275	1.000	0.000	0.005	0.000	1.000	-0.001	-0.005	0.001	1.000
0.0089	4.172	8.286	-1.037	0.2086	0.3471	-0.0977	-0.3863	-0.4056	0.4367	1.000	0.000	0.005	0.000	1.000	-0.001	-0.005	0.001	1.000
0.0090	0.685	7.753	1.356	0.1793	0.3492	-0.0595	-0.2934	0.0209	0.3822	1.000	0.000	0.005	0.000	1.000	-0.001	-0.005	0.001	1.000
0.0091	-7.442	11.450	2.557	0.1776	0.3596	-0.0290	-0.0171	0.1037	0.3043	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0092	-5.363	13.341	-0.886	0.1880	0.3374	0.0174	0.1036	-0.2220	0.4641	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0093	3.545	11.074	-4.599	0.1850	0.2893	0.0792	-0.0299	-0.4808	0.6188	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0094	7.672	8.584	-6.424	0.1726	0.2617	0.1183	-0.1238	-0.2761	0.3910	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0095	9.066	6.175	-6.398	0.1659	0.2740	0.1127	-0.0668	0.1228	-0.0567	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0096	9.165	2.295	-4.733	0.1699	0.2969	0.0782	0.0395	0.2288	-0.3444	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0097	3.110	-0.340	-5.393	0.1702	0.2975	0.0555	0.0036	0.0066	-0.2274	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0098	-2.547	-0.215	-10.905	0.1413	0.2756	0.0764	-0.2889	-0.2196	0.2095	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0099	0.627	-0.044	-16.111	0.0947	0.2523	0.1214	-0.4659	-0.2326	0.4492	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0100	4.824	-1.011	-15.100	0.0796	0.2470	0.1357	-0.1517	-0.0536	0.1433	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0101	2.665	-2.305	-9.273	0.1116	0.2683	0.0919	0.3209	0.2137	-0.4383	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0102	1.351	-3.150	-5.916	0.1524	0.3160	0.0175	0.4075	0.4771	-0.7436	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0103	4.639	-1.322	-8.606	0.1768	0.3848	-0.0460	0.2443	0.6876	-0.6346	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0104	5.931	3.751	-13.095	0.2064	0.4591	-0.0985	0.2959	0.7427	-0.5258	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0105	5.245	7.497	-15.609	0.2514	0.5105	-0.1585	0.4497	0.5144	-0.5997	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0106	7.872	6.545	-15.958	0.2806	0.5128	-0.2020	0.2923	0.0230	-0.4352	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0107	10.165	4.733	-13.584	0.2648	0.4596	-0.1800	-0.1578	-0.5322	0.2202	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0108	7.276	5.659	-8.584	0.2209	0.3799	-0.1013	-0.4389	-0.7971	0.7868	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0109	3.421	5.819	-3.255	0.1974	0.3198	-0.0337	-0.2352	-0.6013	0.6760	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0110	1.662	2.606	1.931	0.2093	0.2986	-0.0102	0.1187	-0.2112	0.2348	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0111	-0.087	0.049	8.278	0.2199	0.3000	-0.0057	0.1063	0.0138	0.0457	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0112	0.473	1.032	11.334	0.2016	0.2957	0.0080	-0.1837	-0.0426	0.1372	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0113	5.362	2.583	6.834	0.1722	0.2810	0.0312	-0.2938	-0.1473	0.2318	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0114	8.346	2.128	2.761	0.1596	0.2811	0.0486	-0.1256	0.0005	0.1737	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0115	5.892	1.256	6.089	0.1654	0.3040	0.0539	0.0574	0.2297	0.0527	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0116	3.087	0.892	8.759	0.1768	0.3200	0.0498	0.1144	0.1593	-0.0409	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0117	2.084	-0.626	3.920	0.1888	0.3065	0.0378	0.1196	-0.1350	-0.1202	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0118	0.096	-3.336	-3.095	0.2012	0.2756	0.0242	0.1240	-0.3085	-0.1355	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0119	-2.030	-5.558	-8.250	0.2129	0.2499	0.0185	0.1169	-0.2569	-0.0571	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0120	-2.704	-6.788	-12.834	0.2184	0.2326	0.0239	0.0554	-0.1734	0.0537	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0121	-3.634	-6.426	-15.863	0.2063	0.2087	0.0384	-0.1210	-0.2393	0.1450	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0122	-3.464	-3.578	-16.829	0.1872	0.1846	0.0492	-0.1909	-0.2410	0.1085	1.000	0.000	0.006	0.000	1.000	-0.001	-0.006	0.001	1.000
0.0123	0.943	0.086	-18.510	0.2089	0.1924	0.0283	0.2166	0.0785	-0.2097	1.000	0.000	0.007	0.000	1.000	-0.001	-0.007	0.001	1.000
0.0124	6.112	2.191	-21.067	0.2910	0.2411	-0.0499	0.8210	0.4867	-0.7815	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0125	7.004	2.710	-22.463	0.3781	0.3088	-0.1658	0.8707	0.6773	-1.1591	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0126	5.674	1.521	-24.085	0.4115	0.3715	-0.2436	0.3340	0.6269	-0.7781	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0127	4.646	-1.765	-26.548	0.4017	0.4080	-0.2362	-0.0973	0.3651	0.0740	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0128	1.584	-4.881	-25.347	0.3847	0.4010	-0.1829	-0.1702	-0.0698	0.5329	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0129	-2.291	-6.153	-17.470	0.3693	0.3559	-0.1403	-0.1540	-0.4509	0.4268	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0130	-0.995	-7.087	-7.989	0.3518	0.3055	-0.1219	-0.1753	-0.5040	0.1832	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0131	5.697	-7.786	-6.989	0.3191	0.2740	-0.1015	-0.3265	-0.3152	0.2041	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0132	10.802	-6.821	-16.360	0.2583	0.2629	-0.0536	-0.6081	-0.1114	0.4787	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0133	10.203	-5.612	-25.734	0.1901	0.2702	-0.0035	-0.6821	0.0734	0.5012	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0134	6.373	-6.268	-28.297	0.1530	0.2861	0.0125	-0.3711	0.1588	0.1601	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0135	2.816	-8.066	-27.190	0.1595	0.2994	0.0103	0.0652	0.1326	-0.0217	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0136	2.111	-9.709	-25.793	0.1864	0.3135	0.0212	0.2685	0.1413	0.1091	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0137	4.994	-11.227	-25.044	0.2020	0.3282	0.0306	0.1569	0.1474	0.0933	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0138	6.997	-12.439	-25.272	0.1991	0.3351	0.0055	-0.0290	0.0689	-0.2502	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0139	3.980	-13.369	-23.605	0.1890	0.3309	-0.0459	-0.1010	-0.0419	-0.5145	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0140	-0.333	-14.559	-17.514	0.1835	0.3123	-0.0832	-0.0559	-0.1862	-0.3731	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0141	-0.852	-13.821	-13.571	0.1953	0.2827	-0.0839	0.1186	-0.2958	-0.0065	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0142	1.571	-7.976	-19.233	0.2372	0.2680	-0.0803	0.4183	-0.1471	0.0357	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0143	5.716	1.106	-28.150	0.3043	0.2949	-0.1302	0.6711	0.2689	-0.4987	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0144	11.971	8.417	-30.427	0.3691	0.3544	-0.2363	0.6487	0.5948	-1.0610	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0145	16.040	12.223	-27.653	0.4019	0.3998	-0.3356	0.3277	0.4544	-0.9930	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0146	13.228	13.921	-23.978	0.3892	0.3937	-0.3647	-0.1270	-0.0616	-0.2907	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0147	7.178	14.357	-18.791	0.3402	0.3532	-0.3116	-0.4902	-0.4051	0.5305	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0148	4.323	13.960	-15.335	0.2863	0.3218	-0.2227	-0.5391	-0.3137	0.8894	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0149	5.434	13.857	-17.850	0.2554	0.3064	-0.1518	-0.3090	-0.1537	0.7089	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0150	8.563	14.493	-21.580	0.2406	0.2820	-0.1024	-0.1484	-0.2440	0.4936	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0151	11.971	14.786	-21.206	0.2225	0.2446	-0.0554	-0.1810	-0.3742	0.4697	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0152	12.653	13.405	-19.549	0.2044	0.2140	-0.0236	-0.1809	-0.3057	0.3179	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0153	10.153	10.618	-18.557	0.1926	0.2001	-0.0240	-0.1172	-0.1395	-0.0036	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0154	8.339	8.216	-15.979	0.1859	0.2019	-0.0324	-0.0674	0.0185	-0.0843	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0155	8.890	7.253	-13.446	0.1939	0.2099	-0.0175	0.0798	0.0796	0.1490	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0156	9.302	6.973	-14.258	0.2227	0.2082	0.0031	0.2880	-0.0168	0.2063	1.000	0.000	0.007	0.000	1.000	-0.002	-0.007	0.002	1.000
0.0157	7.871	6.413	-16.682	0.2573	0.2088	-0.0114	0.3463	0.0058	-0.1452	1.000	0.000	0.008	0.000	1.000	-0.002	-0.008	0.002	1.000
